VID,Label,Start,End,Height,Width,FramesCut,AnnotatedFrames,Usage
--h5fAKYurM,43,00:00:00,00:00:06,320,568,181,3,0
-0cOo0cRVZU,34,00:00:00,00:00:08,320,426,241,3,0
-1L1Fm8QaK4,11,00:00:41,00:00:45,320,566,100,3,0
-2GEt8vi2RA,54,00:01:13,00:01:16,320,568,75,5,0
-2akYw9VucA,54,00:01:42,00:01:45,320,568,72,5,0
-2vO7IbjuSE,67,00:00:24,00:00:32,320,568,192,3,0
-4CdF084nIs,67,00:00:55,00:01:03,320,720,240,5,0
-4K2hHSl7s4,35,00:00:05,00:00:11,320,568,180,3,0
-4KMQsUaSAQ,11,00:00:56,00:01:03,320,568,168,3,1
-54J_vTufjw,48,00:00:46,00:00:54,320,480,240,3,0
-5Ilq3kFxek,65,00:00:06,00:00:11,320,426,125,5,0
-5bfNwGsWZA,44,00:00:22,00:00:27,320,426,150,5,0
-5lbSzOSfz8,68,00:00:14,00:00:22,320,426,201,3,0
-7AwCPcgrzA,73,00:01:14,00:01:19,320,568,151,5,0
-7EE9T3Z0qk,21,00:00:00,00:00:08,320,568,241,3,1
-7e9bizUyHg,45,00:00:10,00:00:14,320,426,120,3,0
-8FLF-osZmA,34,00:01:33,00:01:41,320,580,240,3,0
-8sY4FHSq7g,77,00:00:11,00:00:17,320,426,150,3,0
-An-2j9snuc,76,00:00:04,00:00:12,320,568,240,3,0
-AyZV127fCg,55,00:01:05,00:01:13,320,480,240,3,1
-Bo3qO_HkEQ,26,00:00:26,00:00:30,320,426,40,3,0
-CzttfT_7uM,66,00:00:46,00:00:54,320,568,240,3,0
-EKuFGo77JM,26,00:00:04,00:00:07,320,426,90,3,1
-FeMotilSE8,16,00:00:00,00:00:03,320,426,91,3,1
-HpFtQGQ7l8,66,00:00:10,00:00:20,320,568,300,3,0
-J7SggJdfJA,65,00:00:52,00:00:55,320,426,90,3,0
-JaavP2RFzA,45,00:00:55,00:00:58,320,568,90,3,1
-K_YK2Ct5f8,73,00:00:44,00:00:49,320,426,126,3,0
-MTB_0zfFXc,65,00:00:31,00:00:34,320,426,90,3,1
-MYguBhCWSM,16,00:00:02,00:00:05,320,568,90,3,0
-QSOuKmwbeo,44,00:04:07,00:04:11,320,426,120,3,0
-RTVlR5FrHw,18,00:00:19,00:00:22,320,568,72,3,0
-TeTejh1ebs,11,00:03:55,00:04:01,320,568,150,3,0
-UQLalti9dI,16,00:00:35,00:00:38,320,428,90,3,0
-VqyimSxbpg,48,00:01:44,00:01:52,320,426,241,3,0
-WXtonEw8-0,46,00:00:40,00:00:44,320,568,48,3,0
-XgH1VvAKcA,45,00:00:19,00:00:28,320,426,225,3,0
-YAVP7JseLQ,77,00:00:12,00:00:16,320,568,121,5,0
-YM5_oSdP1c,66,00:01:10,00:01:13,320,568,90,3,0
-ZG23ZWRtuM,28,00:00:33,00:00:36,320,568,90,3,0
-aN1E545q_Q,12,00:00:06,00:00:10,320,568,120,3,0
-d82zJg5qoY,54,00:00:06,00:00:09,320,568,72,3,1
-d8EYyveK_E,78,00:00:00,00:00:08,320,568,241,3,0
-dP_5L19sdc,12,00:00:14,00:00:19,320,568,151,5,0
-esJrBWj2d8,63,00:00:59,00:01:03,320,568,121,3,1
-fZzPnx706g,77,00:00:23,00:00:26,320,564,90,3,0
-g-zmU_D-e8,61,00:01:29,00:01:33,320,568,121,3,0
-gLdLiByqTY,21,00:00:22,00:00:29,320,568,210,5,0
-guBVgQsnWs,44,00:00:07,00:00:11,320,568,120,3,0
-iRDLJ2wK1A,46,00:00:03,00:00:08,320,568,150,3,0
-jR_xfZwFNM,17,00:00:24,00:00:26,320,400,50,3,0
-lF5o3IOBm0,57,00:00:17,00:00:20,320,568,90,3,0
-ljbOmNX7x0,36,00:01:10,00:01:16,320,426,180,3,1
